date,season,team,home/visitor,opponent,score,opponentScore,moneyLine,opponentMoneyLine,total,spread,secondHalfTotal,win,team_prob,opp_prob,row_id,model_prob,edge,market_odds,market_ev,model_ev,profit
2007-10-30,2008,Utah,@,Golden State,117,96,100.0,-120.0,212.0,1.0,105.5,1,0.5,0.5454545454545454,0,0.4790659541169327,-0.020934045883067298,1.0,0.0,-0.04186809176613465,1.0
2007-10-30,2008,LA Lakers,vs,Houston,93,95,190.0,-230.0,199.0,5.0,99.0,0,0.3448275862068966,0.696969696969697,1,0.31581225123537454,-0.029015334971522033,1.9,-0.8999999999999999,-0.9841444714174139,-1.9
2007-10-30,2008,Houston,@,LA Lakers,95,93,-230.0,190.0,199.0,-5.0,99.0,1,0.696969696969697,0.3448275862068966,2,0.6880855000850679,-0.008884196884629159,2.3,2.220446049250313e-16,-0.02931784971927598,1.0
2007-10-30,2008,San Antonio,vs,Portland,106,97,-1400.0,900.0,189.5,-13.0,95.0,1,0.9333333333333332,0.1,3,0.8630843020662111,-0.07024903126712212,14.0,-1.4432899320127035e-15,-1.0537354690068332,1.0
2007-10-30,2008,Portland,@,San Antonio,97,106,900.0,-1400.0,189.5,13.0,95.0,0,0.1,0.9333333333333332,4,0.1346278195952085,0.0346278195952085,9.0,-8.0,-7.6537218040479145,-9.0
2007-10-30,2008,Golden State,vs,Utah,96,117,-120.0,100.0,212.0,-1.0,105.5,0,0.5454545454545454,0.5,5,0.5294984030119547,-0.015956142442590693,1.2,-1.1102230246251565e-16,-0.035103513373699546,-1.2
2007-10-31,2008,New Jersey,vs,Chicago,112,103,-125.0,105.0,186.0,-1.5,94.0,1,0.5555555555555556,0.4878048780487805,6,0.5406602657191653,-0.014895289836390324,1.25,0.0,-0.033514402131878174,1.0
2007-10-31,2008,Dallas,@,Cleveland,92,74,-140.0,120.0,184.0,-2.5,91.5,1,0.5833333333333334,0.4545454545454545,7,0.571113119360318,-0.012220213973015426,1.4,1.1102230246251565e-16,-0.02932851353523691,1.0
2007-10-31,2008,Cleveland,vs,Dallas,74,92,120.0,-140.0,184.0,2.5,91.5,0,0.4545454545454545,0.5833333333333334,8,0.4290566277794428,-0.025488826766011663,1.2,-0.20000000000000018,-0.25607541888522584,-1.2
2007-10-31,2008,Seattle,@,Denver,103,120,625.0,-825.0,217.5,11.5,107.5,0,0.1379310344827586,0.8918918918918919,9,0.15549327517983647,0.017562240697077874,6.25,-5.25,-5.122673754946186,-6.25
