date,season,team,home/visitor,opponent,score,opponentScore,moneyLine,opponentMoneyLine,total,spread,secondHalfTotal,win,team_prob,opp_prob,model_prob,decimal_odds,edge,payoff_if_win,ev_market,ev_model,realized_return
2017-03-11,2017,Philadelphia,@,LA Clippers,100,112,1100.0,-2500.0,214.0,14.5,105.5,0,0.08333333333333333,0.9615384615384616,0.11486248899676743,12.0,0.0315291556634341,11.0,0.0,0.37834986796120906,-1.0
2012-02-20,2012,New Orleans,@,Oklahoma City,93,101,550.0,-750.0,186.5,10.5,89.0,0,0.15384615384615385,0.8823529411764706,0.17384816277447435,6.5,0.02000200892832049,5.5,1.1102230246251565e-16,0.13001305803408325,-1.0
2007-12-21,2008,LA Clippers,@,Dallas,89,102,700.0,-1000.0,194.0,11.5,95.5,0,0.125,0.9090909090909091,0.15529780928418632,8.0,0.030297809284186322,7.0,0.0,0.24238247427349058,-1.0
2019-10-28,2020,Charlotte,@,LA Clippers,96,111,1200.0,-3000.0,228.0,15.5,111.5,0,0.07692307692307693,0.967741935483871,0.1052044114842234,13.0,0.028281334561146468,12.0,0.0,0.36765734929490423,-1.0
2008-02-08,2008,Memphis,@,Dallas,81,92,800.0,-1200.0,201.0,12.0,97.5,0,0.1111111111111111,0.9230769230769231,0.14675067933090888,9.0,0.035639568219797774,8.0,0.0,0.32075611397817994,-1.0
2012-03-13,2012,Washington,@,Dallas,98,107,900.0,-1500.0,200.0,12.5,98.5,0,0.1,0.9375,0.13851789745981025,10.0,0.03851789745981024,9.0,0.0,0.38517897459810246,-1.0
2016-02-03,2016,New Orleans,@,San Antonio,97,110,800.0,-1400.0,206.5,12.5,103.0,0,0.1111111111111111,0.9333333333333333,0.14018078051055696,9.0,0.029069669399445858,8.0,0.0,0.26162702459501264,-1.0
2009-04-08,2009,Oklahoma City,@,Denver,112,122,900.0,-1500.0,209.5,13.0,102.5,0,0.1,0.9375,0.13340405247582632,10.0,0.03340405247582631,9.0,0.0,0.3340405247582633,-1.0
2009-11-14,2010,New Jersey,@,Miami,80,81,750.0,-1200.0,178.0,12.5,87.5,0,0.11764705882352941,0.9230769230769231,0.14080704543108183,8.5,0.02315998660755242,7.5,0.0,0.19685988616419559,-1.0
2015-11-22,2016,Denver,vs,Golden State,105,118,750.0,-1050.0,210.0,12.5,103.0,0,0.11764705882352941,0.9130434782608695,0.14300923273405475,8.5,0.025362173910525337,7.5,0.0,0.2155784782394653,-1.0
2014-02-10,2014,Philadelphia,@,Golden State,80,123,1350.0,-2300.0,215.0,15.0,104.5,0,0.06896551724137931,0.9583333333333334,0.10946932320150826,14.5,0.04050380596012895,13.5,0.0,0.5873051864218699,-1.0
2018-11-14,2019,Chicago,@,Boston,82,111,800.0,-1400.0,213.0,13.0,110.0,0,0.1111111111111111,0.9333333333333333,0.13491086569363997,9.0,0.023799754582528865,8.0,0.0,0.21419779124275973,-1.0
2009-11-06,2010,Atlanta,@,Charlotte,83,103,-7.5,120.0,180.5,-2.5,91.5,0,0.06976744186046512,0.45454545454545453,0.48663016081743843,14.333333333333334,0.4168627189569733,13.333333333333334,0.0,5.975032305049951,-1.0
2008-04-08,2008,New York,@,Detroit,98,94,650.0,-900.0,193.5,11.0,95.5,1,0.13333333333333333,0.9,0.16336660446895976,7.5,0.030033271135626427,6.5,0.0,0.22524953351719812,6.5
2016-01-02,2016,Philadelphia,@,LA Clippers,99,130,900.0,-1600.0,203.5,13.5,102.0,0,0.1,0.9411764705882353,0.12758563707727721,10.0,0.02758563707727721,9.0,0.0,0.27585637077277214,-1.0
2008-11-25,2009,New Jersey,@,LA Lakers,93,120,1050.0,-1600.0,210.0,13.5,107.5,0,0.08695652173913043,0.9411764705882353,0.1267091136568829,11.5,0.03975259191775246,10.5,-1.1102230246251565e-16,0.45715480705415323,-1.0
2013-03-01,2013,Sacramento,@,San Antonio,102,130,1395.0,-2045.0,215.5,14.5,106.0,0,0.06688963210702341,0.9533799533799534,0.11435577654753976,14.95,0.04746614444051635,13.95,-1.1102230246251565e-16,0.7096188593857193,-1.0
2008-03-28,2008,Memphis,@,LA Lakers,114,111,1100.0,-1800.0,216.0,13.5,109.5,1,0.08333333333333333,0.9473684210526315,0.126021915220619,12.0,0.04268858188728568,11.0,0.0,0.5122629826474281,11.0
2008-01-11,2008,Milwaukee,@,LA Lakers,105,110,1350.0,-2300.0,208.0,14.5,105.0,0,0.06896551724137931,0.9583333333333334,0.11386123086740085,14.5,0.044895713626021544,13.5,0.0,0.6509878475773124,-1.0
2010-12-15,2011,Minnesota,@,Phoenix,122,128,530.0,-670.0,223.5,10.0,110.0,0,0.15873015873015872,0.8701298701298701,0.18435614351917037,6.3,0.025625984789011652,5.3,-1.1102230246251565e-16,0.16144370417077336,-1.0
2018-03-10,2018,Orlando,@,LA Clippers,105,113,650.0,-1000.0,217.0,11.5,106.5,0,0.13333333333333333,0.9090909090909091,0.1570282608427063,7.5,0.023694927509372965,6.5,0.0,0.17771195632029713,-1.0
2020-01-12,2020,Toronto,vs,San Antonio,104,105,-160.0,140.0,220.0,-5.0,112.5,0,0.6153846153846154,0.4166666666666667,0.6533374140789495,1.625,0.0379527986943341,0.625,5.551115123125783e-17,0.061673297878292954,-1.0
2008-03-30,2008,New York,@,Atlanta,109,114,900.0,-1300.0,204.0,13.5,100.0,0,0.1,0.9285714285714286,0.1288035342926323,10.0,0.0288035342926323,9.0,0.0,0.28803534292632316,-1.0
2019-03-10,2019,Phoenix,@,Golden State,115,111,1500.0,-5000.0,234.0,17.0,114.5,1,0.0625,0.9803921568627451,0.0911512909338275,16.0,0.028651290933827497,15.0,0.0,0.45842065494123996,15.0
2009-04-13,2009,Oklahoma City,@,Portland,83,113,775.0,-1100.0,195.0,12.5,95.0,0,0.11428571428571428,0.9166666666666666,0.14177699953803838,8.75,0.027491285252324096,7.75,0.0,0.24054874595783582,-1.0
2016-04-05,2016,Phoenix,@,Atlanta,90,103,1300.0,-3500.0,205.0,15.0,108.0,0,0.07142857142857142,0.9722222222222222,0.10821187187478758,14.0,0.03678330044621615,13.0,-1.1102230246251565e-16,0.5149662062470259,-1.0
2009-03-07,2009,Oklahoma City,@,New Orleans,90,108,1000.0,-1400.0,188.5,13.0,92.5,0,0.09090909090909091,0.9333333333333333,0.13230335256225798,11.0,0.041394261653167064,10.0,1.1102230246251565e-16,0.4553368781848378,-1.0
2016-03-29,2016,Philadelphia,vs,Charlotte,85,100,650.0,-1000.0,210.0,11.5,103.0,0,0.13333333333333333,0.9090909090909091,0.15675252460913783,7.5,0.023419191275804496,6.5,0.0,0.17564393456853378,-1.0
2018-02-11,2018,Dallas,@,Houston,97,104,1000.0,-2000.0,214.5,15.0,106.0,0,0.09090909090909091,0.9523809523809523,0.11157999404938304,11.0,0.02067090314029213,10.0,1.1102230246251565e-16,0.22737993454321337,-1.0
2008-03-28,2008,New York,@,Toronto,95,103,1750.0,-3500.0,197.0,16.0,96.0,0,0.05405405405405406,0.9722222222222222,0.0982034166364632,18.5,0.044149362582409146,17.5,1.1102230246251565e-16,0.8167632077745692,-1.0
2012-01-04,2012,Sacramento,@,Denver,83,110,650.0,-900.0,209.0,11.0,102.0,0,0.13333333333333333,0.9,0.16399846358575487,7.5,0.03066513025242154,6.5,0.0,0.2299884768931616,-1.0
2019-01-29,2019,New Orleans,@,Houston,121,116,900.0,-1600.0,234.0,13.5,113.0,1,0.1,0.9411764705882353,0.12860003522446803,10.0,0.028600035224468023,9.0,0.0,0.28600035224468034,9.0
2009-04-11,2009,Golden State,@,Utah,118,108,1600.0,-2500.0,226.5,14.5,111.0,1,0.058823529411764705,0.9615384615384616,0.11337078001582482,17.0,0.05454725060406011,16.0,0.0,0.9273032602690219,16.0
2009-11-29,2010,Minnesota,@,Denver,106,100,1280.0,-2100.0,214.5,14.0,105.5,1,0.07246376811594203,0.9545454545454546,0.11944193887428846,13.8,0.04697817075834643,12.8,1.1102230246251565e-16,0.6482987564651808,12.8
2012-02-01,2012,Charlotte,@,Portland,68,112,1380.0,-2180.0,182.5,15.5,89.5,0,0.06756756756756757,0.956140350877193,0.10420046618603038,14.8,0.036632898618462806,13.8,1.1102230246251565e-16,0.5421668995532497,-1.0
2010-03-26,2010,Minnesota,@,Orlando,97,106,2000.0,-4750.0,210.5,15.5,104.0,0,0.047619047619047616,0.979381443298969,0.10175093590526584,21.0,0.05413188828621822,20.0,0.0,1.1367696540105823,-1.0
2016-02-11,2016,New Orleans,@,Oklahoma City,95,121,750.0,-1200.0,218.5,12.0,108.5,0,0.11764705882352941,0.9230769230769231,0.14802477665248254,8.5,0.030377717828953127,7.5,0.0,0.2582106015461014,-1.0
2020-01-15,2020,Charlotte,@,Denver,86,100,711.0,-1100.0,209.5,11.5,102.0,0,0.12330456226880394,0.9166666666666666,0.15488865360852144,8.11,0.0315840913397175,7.109999999999999,-1.1102230246251565e-16,0.2561469807651089,-1.0
2017-10-21,2018,Phoenix,@,LA Clippers,88,130,857.0,-1450.0,220.0,13.5,113.0,0,0.1044932079414838,0.9354838709677419,0.12905710490498784,9.57,0.024563896963504042,8.57,-1.1102230246251565e-16,0.2350764939407337,-1.0
2018-11-16,2019,Chicago,@,Milwaukee,104,123,1000.0,-2000.0,225.5,14.5,117.0,0,0.09090909090909091,0.9523809523809523,0.11659653247896441,11.0,0.0256874415698735,10.0,1.1102230246251565e-16,0.2825618572686086,-1.0
2012-12-09,2013,Phoenix,vs,Orlando,90,98,-165.0,145.0,198.0,-4.5,99.5,0,0.6226415094339622,0.40816326530612246,0.6441787520543523,1.606060606060606,0.02153724262039003,0.606060606060606,-1.1102230246251565e-16,0.03459011693577785,-1.0
2014-01-08,2014,Orlando,@,Portland,94,110,770.0,-1150.0,206.5,12.5,103.5,0,0.11494252873563218,0.92,0.14190814632603982,8.7,0.026965617590407637,7.699999999999999,-1.1102230246251565e-16,0.2346008730365463,-1.0
2021-05-14,2021,Oklahoma City,vs,Utah,93,109,1000.0,-2000.0,221.0,15.0,113.5,0,0.09090909090909091,0.9523809523809523,0.11177202004993994,11.0,0.02086292914084903,10.0,1.1102230246251565e-16,0.22949222054933927,-1.0
2012-03-02,2012,Charlotte,@,San Antonio,72,102,1750.0,-3750.0,197.0,15.0,96.5,0,0.05405405405405406,0.974025974025974,0.10658039051007322,18.5,0.05252633645601916,17.5,1.1102230246251565e-16,0.9717372244363546,-1.0
2008-03-14,2008,Miami,vs,Orlando,94,103,1150.0,-1900.0,203.5,14.0,100.5,0,0.08,0.95,0.1201042246804961,12.5,0.0401042246804961,11.5,0.0,0.5013028085062011,-1.0
2009-02-21,2009,Sacramento,@,Dallas,95,116,900.0,-1400.0,213.0,13.0,105.0,0,0.1,0.9333333333333333,0.13393619486948305,10.0,0.033936194869483044,9.0,0.0,0.3393619486948305,-1.0
